latitude,longitude
40.0616204,-1.2873165
40.0614459,-1.286582
40.0607437,-1.286788
40.0606031,-1.2868779
40.0627497,-1.286509
40.0627659,-1.2868442
40.0631649,-1.2856816
40.0606031,-1.2868779
40.0249835,-1.1937232
40.0637507,-1.2866357
40.0694388,-1.2862056
40.0612814,-1.2875681
40.0631649,-1.2856816
40.0652544,-1.2858919
40.0655287,-1.2845779
40.0606031,-1.2868779
40.0631649,-1.2856816
38.9615238,-0.1488153
38.9615238,-0.1488153
38.9615238,-0.1488153
38.9615238,-0.1488153
38.9615238,-0.1488153
38.9615238,-0.1488153
38.9195136,-0.2242702
38.9195136,-0.2242702
38.9615238,-0.1488153
38.9615238,-0.1488153
38.9195136,-0.2242702
38.9201074,-0.2250916
38.9615238,-0.1488153
38.9615238,-0.1488153
38.9195136,-0.2242702
38.9193798,-0.2241732
38.9195136,-0.2242702
38.9195136,-0.2242702
38.9195136,-0.2242702
38.9615238,-0.1488153
38.9615238,-0.1488153
38.9195136,-0.2242702
38.9195136,-0.2242702
38.9615238,-0.1488153
38.9195136,-0.2242702
38.9615238,-0.1488153
38.8540084,-0.5162674
38.8328755,-0.4971297
38.8328755,-0.4971297
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8328755,-0.4971297
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8232056,-0.5475331
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8232056,-0.5475331
38.8232056,-0.5475331
38.8540084,-0.5162674
38.8232056,-0.5475331
38.8540084,-0.5162674
38.8232056,-0.5475331
38.8232056,-0.5475331
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8232056,-0.5475331
38.8114373,-0.5398298
38.8232056,-0.5475331
38.8232056,-0.5475331
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8803632,-0.5911695
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8803632,-0.5911695
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8803632,-0.5911695
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8803632,-0.5911695
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8803632,-0.5911695
38.8803632,-0.5911695
39.4567066,-0.4630959
39.4567246,-0.4538282
,
39.4122677,-0.4773687
39.4122677,-0.4773687
39.4545441,-0.4558789
39.4122677,-0.4773687
39.4767797,-0.4723304
39.4572928,-0.46098
39.4572359,-0.4587488
39.4565012,-0.4510418
39.4542849,-0.4695957
39.4531274,-0.4648517
39.4537082,-0.4657201
39.4572928,-0.46098
39.4588751,-0.4599231
39.4572928,-0.46098
39.4558519,-0.4593393
39.4575109,-0.4598965
39.4122677,-0.4773687
39.4122677,-0.4773687
39.4581723,-0.4521702
39.4572928,-0.46098
39.4572928,-0.46098
39.4572928,-0.46098
39.4122677,-0.4773687
39.4122677,-0.4773687
39.4572928,-0.46098
39.4550794,-0.4633408
39.4558519,-0.4593393
39.4530618,-0.4591709
39.4122677,-0.4773687
39.4122677,-0.4773687
39.4575109,-0.4598965
39.4545441,-0.4558789
39.4570079,-0.4640301
39.4122677,-0.4773687
39.4122677,-0.4773687
39.4122677,-0.4773687
39.4572359,-0.4587488
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.838669,-0.5181895
38.8393213,-0.5201164
38.838669,-0.5181895
38.838669,-0.5181895
38.838669,-0.5181895
38.838669,-0.5181895
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.838669,-0.5181895
38.838669,-0.5181895
38.838669,-0.5181895
38.8540084,-0.5162674
38.8540084,-0.5162674
38.838669,-0.5181895
38.838669,-0.5181895
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.838669,-0.5181895
38.8540084,-0.5162674
38.8540084,-0.5162674
38.838669,-0.5181895
38.838669,-0.5181895
38.8540084,-0.5162674
38.838669,-0.5181895
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.941591,-0.3585755
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.8540084,-0.5162674
38.838669,-0.5181895
38.838669,-0.5181895
38.838669,-0.5181895
38.838669,-0.5181895
38.8540084,-0.5162674
39.4122677,-0.4773687
39.4122677,-0.4773687
39.4122677,-0.4773687
39.3971425,-0.4071979
39.3956438,-0.4150821
39.4122677,-0.4773687
39.4122677,-0.4773687
39.3956438,-0.4150821
39.3945431,-0.410069
39.3945431,-0.410069
39.3956438,-0.4150821
39.3963553,-0.4087141
39.3945431,-0.410069
39.3956438,-0.4150821
39.3956438,-0.4150821
39.3956438,-0.4150821
39.3956438,-0.4150821
39.3956438,-0.4150821
39.3956438,-0.4150821
39.3945792,-0.4069856
39.3945431,-0.410069
