price,rooms,baths,m2_cons,m2_property,floor,garage,balcony,terrace,lift,AC,prop_age,pool,east,north,south,west,adosado,pareado,chalet,masia,atico,duplex,estudio,piso,casa_rustica,villa,heating,trastero,fireplace,garden,wardrobes,mobility,sea_views,nuda,ocupada,rented,new,good,renovate,missing_prop_age,parking_price,location_cluster,room_efficiency,bath_to_room_ratio,cluster_price_mean,cluster_price_std,age_condition_score,luxury_score,luxury_per_m2,is_house,is_apartment,is_small,orientation_score,amenity_count,amenity_density,top_floor,ground_floor,is_tiny,is_small_apt,is_medium,is_large,is_mansion,is_vintage,optimal_age,has_outdoor,has_storage,convenience_score,energy_score,missing_energy_score,energy_premium,energy_penalty,cluster_luxury_level,is_premium_location,room_size_balance,bathroom_luxury,space_efficiency,family_home,luxury_property,m2_property_ratio,amenity_per_room,total_quality,quality_size_fit
180000,3,2,99,99,4,False,True,True,False,True,20,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False,0,2,0.030303030303030304,0.6666666666666666,364887.5054887611,380181.26052936766,20.0,2,0.020202020202020204,False,False,False,3.5,4,0.04040404040404041,False,False,False,False,True,False,False,False,True,True,True,2,3.0,False,False,False,1.628855201254574,False,19.8,True,1.0,False,False,0.99,1.3333333333333333,7.5,148.5
128000,3,2,155,107,2,False,False,True,False,False,49,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,0,2,0.01935483870967742,0.6666666666666666,364887.5054887611,380181.26052936766,49.0,1,0.0064516129032258064,True,False,False,0.0,2,0.012903225806451613,False,False,False,False,False,True,False,False,False,True,True,1,-1.0,True,False,False,1.628855201254574,False,31.0,True,1.4485981308411215,False,False,0.6858974358974359,0.6666666666666666,2.0,62.0
449000,3,2,281,1483,0,True,False,False,False,False,21,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,0,2,0.010676156583629894,0.6666666666666666,364887.5054887611,380181.26052936766,21.0,2,0.0071174377224199285,True,False,False,3.5,2,0.0071174377224199285,False,False,False,False,False,False,True,False,True,True,True,3,-1.0,True,False,False,1.628855201254574,False,56.2,True,0.1894807821982468,True,False,5.25886524822695,0.6666666666666666,8.5,477.70000000000005
584950,5,4,475,1097,0,False,False,True,False,False,49,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,0,2,0.010526315789473684,0.8,364887.5054887611,380181.26052936766,49.0,2,0.004210526315789474,True,False,False,0.0,2,0.004210526315789474,False,False,False,False,False,False,True,False,False,True,True,1,-1.0,True,False,False,1.628855201254574,False,52.77777777777778,True,0.43299908842297175,True,False,2.3046218487394956,0.4,3.0,158.33333333333334
249950,4,4,262,262,3,True,True,True,False,True,25,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,0,2,0.015267175572519083,1.0,364887.5054887611,380181.26052936766,25.0,2,0.007633587786259542,False,False,False,0.0,5,0.019083969465648856,False,False,False,False,False,False,True,False,True,True,True,4,-1.0,True,False,False,1.628855201254574,False,32.75,True,1.0,False,False,0.9961977186311787,1.25,6.0,196.5
340000,4,3,378,378,2,True,True,True,False,True,11,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0,2,0.010582010582010581,0.75,364887.5054887611,380181.26052936766,11.0,1,0.0026455026455026454,True,False,False,3.5,5,0.013227513227513227,False,False,False,False,False,False,True,False,True,True,True,4,1.0,False,True,False,1.628855201254574,False,54.0,True,1.0,False,False,0.9973614775725593,1.25,8.5,459.0
68000,4,1,110,110,0,False,False,True,False,False,76,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,0,2,0.03636363636363636,0.25,364887.5054887611,380181.26052936766,152.0,0,0.0,False,True,False,0.0,3,0.02727272727272727,False,True,False,False,True,False,False,True,False,True,True,1,3.5,False,False,True,1.628855201254574,False,22.0,False,1.0,False,False,0.990990990990991,0.75,1.0,22.0
823000,10,6,400,1000,1,True,False,False,False,True,56,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,0,2,0.025,0.6,364887.5054887611,380181.26052936766,56.0,3,0.0075,True,False,False,0.0,2,0.005,False,False,False,False,False,False,True,True,False,True,True,4,-1.0,True,False,False,1.628855201254574,False,25.0,False,0.4,True,True,2.493765586034913,0.2,7.0,175.0
128000,3,2,155,107,2,False,False,True,False,False,49,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,0,2,0.01935483870967742,0.6666666666666666,364887.5054887611,380181.26052936766,49.0,1,0.0064516129032258064,True,False,False,0.0,3,0.01935483870967742,False,False,False,False,False,True,False,False,False,True,True,1,-1.0,True,False,False,1.628855201254574,False,31.0,True,1.4485981308411215,False,False,0.6858974358974359,1.0,2.0,62.0
535000,5,5,292,961,3,True,True,True,False,False,32,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,True,False,False,0,2,0.017123287671232876,1.0,364887.5054887611,380181.26052936766,32.0,2,0.00684931506849315,True,False,False,4.5,5,0.017123287671232876,False,False,False,False,False,False,True,False,False,True,True,3,-1.0,True,False,False,1.628855201254574,False,29.2,True,0.30385015608740895,True,False,3.279863481228669,1.0,9.5,277.4
